 ✔ Container stash Running                                                                                                     0.0s
Attaching to stash
stash  | 2026-04-23T19:03:13.346858449-03:00 INF Response: 200 OK httpRequest={"proto":"HTTP/1.1","remoteIP":"192.168.42.106:54151","requestID":"438a9a6f1e38/hcstIKcZuT-000193","requestMethod":"GET","requestPath":"/customlocales","requestURL":"http://192.168.42.164:9999/customlocales"} httpResponse={"bytes":26,"elapsed":0.037862,"status":200} service=stash
stash  | 2026-04-23T19:03:13.472353957-03:00 INF Response: 200 OK httpRequest={"proto":"HTTP/1.1","remoteIP":"192.168.42.106:54145","requestID":"438a9a6f1e38/hcstIKcZuT-000194","requestMethod":"POST","requestPath":"/graphql","requestURL":"http://192.168.42.164:9999/graphql"} httpResponse={"bytes":592,"elapsed":0.542018,"status":200} service=stash
stash  | 2026-04-23T19:03:13.606871089-03:00 INF Response: 304 Redirect httpRequest={"proto":"HTTP/1.1","remoteIP":"192.168.42.106:54145","requestID":"438a9a6f1e38/hcstIKcZuT-000195","requestMethod":"GET","requestPath":"/plugin/stash_renamer/javascript","requestURL":"http://192.168.42.164:9999/plugin/stash_renamer/javascript"} httpResponse={"bytes":0,"elapsed":34.871478,"status":304} service=stash
stash  | 2026-04-23T19:03:13.838654851-03:00 INF Response: 200 OK httpRequest={"proto":"HTTP/1.1","remoteIP":"192.168.42.106:54145","requestID":"438a9a6f1e38/hcstIKcZuT-000196","requestMethod":"POST","requestPath":"/graphql","requestURL":"http://192.168.42.164:9999/graphql"} httpResponse={"bytes":26,"elapsed":0.291609,"status":200} service=stash
stash  | 2026-04-23T19:03:13.872363407-03:00 INF Response: 200 OK httpRequest={"proto":"HTTP/1.1","remoteIP":"192.168.42.106:54148","requestID":"438a9a6f1e38/hcstIKcZuT-000198","requestMethod":"POST","requestPath":"/graphql","requestURL":"http://192.168.42.164:9999/graphql"} httpResponse={"bytes":109,"elapsed":2.648873,"status":200} service=stash
stash  | ERRO[2026-04-23 19:03:13] [Plugin / Scene Renamer] [runtime_preflight] waiting for preflight lock: /tmp/stash_renamer_runtime_preflight.lock 
stash  | ERRO[2026-04-23 19:03:13] [Plugin / Scene Renamer] [runtime_preflight] acquired preflight lock 
stash  | ERRO[2026-04-23 19:03:13] [Plugin / Scene Renamer] [runtime_preflight] starting preflight; python=/usr/bin/python3 version=3.12.13 (main, Apr 10 2026, 13:58:11) [GCC 15.2.0] 
stash  | ERRO[2026-04-23 19:03:13] [Plugin / Scene Renamer] [runtime_preflight] requirements path: /root/.stash/plugins/stash_renamer/requirements.txt 
stash  | ERRO[2026-04-23 19:03:13] [Plugin / Scene Renamer] [runtime_preflight] in_virtualenv: False 
stash  | ERRO[2026-04-23 19:03:13] [Plugin / Scene Renamer] [runtime_preflight] usersite: /root/.local/lib/python3.12/site-packages 
stash  | ERRO[2026-04-23 19:03:13] [Plugin / Scene Renamer] [runtime_preflight] sites: ['/usr/lib/python3.12/site-packages'] 
stash  | ERRO[2026-04-23 19:03:13] [Plugin / Scene Renamer] [runtime_preflight] sys.path entries: 6 
stash  | ERRO[2026-04-23 19:03:13] [Plugin / Scene Renamer] [runtime_preflight] not running inside virtualenv; bootstrapping local venv 
stash  | ERRO[2026-04-23 19:03:13] [Plugin / Scene Renamer] [runtime_preflight] installing requirements in venv using: /root/.stash/plugins/stash_renamer/.venv_runtime/bin/python 
stash  | ERRO[2026-04-23 19:03:13] [Plugin / Scene Renamer] [runtime_preflight] pip attempt #1: /root/.stash/plugins/stash_renamer/.venv_runtime/bin/python -m pip install --disable-pip-version-check -r /root/.stash/plugins/stash_renamer/requirements.txt 
stash  | ERRO[2026-04-23 19:03:15] [Plugin / Scene Renamer] [runtime_preflight] waiting for preflight lock: /tmp/stash_renamer_runtime_preflight.lock 
stash  | ERRO[2026-04-23 19:03:15] [Plugin / Scene Renamer] [runtime_preflight] waiting for preflight lock: /tmp/stash_renamer_runtime_preflight.lock 
